X1,X2,X3,X4,X5,Y
42000,5850,3,1,2,0
38500,4000,2,1,1,0
49500,3060,3,1,1,0
60500,6650,3,1,2,1
61000,6360,2,1,1,1
66000,4160,3,1,1,1
66000,3880,3,2,2,1
69000,4160,3,1,3,1
83800,4800,3,1,1,1
88500,5500,3,2,4,1
90000,7200,3,2,1,1
30500,3000,2,1,1,0
27000,1700,3,1,2,0
36000,2880,3,1,1,0
37000,3600,2,1,1,0
37900,3185,2,1,1,0
40500,3300,3,1,2,0
40750,5200,4,1,3,0
45000,3450,1,1,1,0
45000,3986,2,2,1,0
48500,4785,3,1,2,0
65900,4510,4,2,2,1
37900,4000,3,1,2,0
38000,3934,2,1,1,0
42000,4960,2,1,1,0
42300,3000,2,1,2,0
43500,3800,2,1,1,0
44000,4960,2,1,1,0
44500,3000,3,1,1,0
